"","median_household_income_B19013","median_household_value_B25077","percent_white_B03002","population_density_B01001_ALAND","percent_high_school_plus_B15003","median_age_B01002"
"median_household_income_B19013",2305,2227,2305,2305,2305,2305
"median_household_value_B25077",2227,2252,2252,2252,2252,2252
"percent_white_B03002",2305,2252,2339,2339,2339,2339
"population_density_B01001_ALAND",2305,2252,2339,2339,2339,2339
"percent_high_school_plus_B15003",2305,2252,2339,2339,2339,2339
"median_age_B01002",2305,2252,2339,2339,2339,2339
