"";"KID";"API_NUMBER_SIMPLE";"LATITUDE";"LONGITUDE";"swd_inj_ci"
"7962";1029099006;"15-001-28309";37,8600801;-95,3110371;"swd"
"1557";1002883296;"15-001-28409";37,8517328;-95,096761;"swd"
"3005";1003527682;"15-001-28413";38,0321074;-95,0783976;"swd"
"5367";1006343071;"15-001-28435";38,0379174;-95,411387;"swd"
"1558";1002883331;"15-001-28466";37,8858077;-95,2484187;"swd"
"1559";1002883333;"15-001-28469";37,7948414;-95,3787851;"swd"
"8765";1031511878;"15-001-28489";37,848452;-95,3202973;"swd"
"1560";1002883356;"15-001-28502";38,0240261;-95,2747799;"swd"
"1561";1002883453;"15-001-28625";37,858757;-95,2798;"swd"
"1562";1002883521;"15-001-28727";38,011509;-95,3662806;"swd"
"1563";1002883547;"15-001-28759";37,8292673;-95,0863379;"swd"
"3036";1004862899;"15-001-28798";38,0242457;-95,2755498;"swd"
"7553";1028094754;"15-001-28999";37,8482588;-95,4104526;"swd"
"7807";1028641812;"15-001-29007";37,92974;-95,4644364;"swd"
"18180";1046469867;"15-001-29039";38,0357042;-95,2628334;"swd"
"8156";1030278917;"15-001-29045";37,8024852;-95,2177203;"swd"
"8157";1030278931;"15-001-29052";37,8111148;-95,2186947;"swd"
"9058";1031891249;"15-001-29151";37,9337684;-95,4832104;"swd"
"15999";1044624152;"15-001-29201";37,7644876;-95,2140779;"swd"
"9256";1032576516;"15-001-29227";37,7461971;-95,5007308;"swd"
"9400";1033431263;"15-001-29263";37,8481434;-95,3340978;"swd"
"9447";1033438400;"15-001-29277";37,8917951;-95,4404251;"swd"
"14482";1043341036;"15-001-29316";37,7758153;-95,5132872;"swd"
"10136";1034570838;"15-001-29399";37,9788821;-95,3459053;"swd"
"11443";1036146723;"15-001-29554";37,9795137;-95,352584;"swd"
"11952";1036918968;"15-001-29615";37,733469;-95,304153;"swd"
"12452";1037343594;"15-001-29659";37,9834033;-95,0790068;"swd"
"12924";1038338203;"15-001-29821";37,9754362;-95,3365443;"swd"
"13004";1038574498;"15-001-29847";37,9942928;-95,5101803;"swd"
"13140";1038842890;"15-001-29880";37,978611;-95,371292;"swd"
"13545";1040726723;"15-001-29914";37,9784151;-95,3741674;"swd"
"13608";1040859868;"15-001-29921";37,9757213;-95,3707649;"swd"
"13645";1040986204;"15-001-29937";37,9337946;-95,4993543;"swd"
"18369";1046519862;"15-001-29938";38,0244221;-95,2479758;"swd"
"13806";1041460295;"15-001-29964";37,9709441;-95,4067384;"swd"
"14057";1042324838;"15-001-30002";37,9649149;-95,4273769;"swd"
"14232";1042758173;"15-001-30101";37,9718923;-95,3723527;"swd"
"14500";1043343271;"15-001-30132";37,9770287;-95,3529551;"swd"
"14854";1043973921;"15-001-30258";37,9591853;-95,4240574;"swd"
"14948";1044022639;"15-001-30289";37,9346496;-95,5073579;"swd"
"14999";1044039817;"15-001-30295";37,920871;-95,4382307;"swd"
"15005";1044041326;"15-001-30298";37,9702284;-95,4347136;"swd"
"15032";1044047055;"15-001-30304";37,9809265;-95,4305863;"swd"
"15160";1044068519;"15-001-30348";37,9362143;-95,0864424;"swd"
"15359";1044129874;"15-001-30490";37,7759266;-95,399806;"swd"
"15618";1044178834;"15-001-30541";37,9805143;-95,3854097;"swd"
"15664";1044188978;"15-001-30564";37,9774976;-95,3721561;"swd"
"15789";1044236717;"15-001-30624";37,9599541;-95,4240498;"swd"
"16062";1044637749;"15-001-30863";37,8656497;-95,2806758;"swd"
"16261";1044839899;"15-001-31077";37,9802369;-95,34708;"swd"
"16278";1044849452;"15-001-31107";37,9808875;-95,4412995;"swd"
"16326";1044873762;"15-001-31135";37,9588969;-95,422386;"swd"
"16353";1044885255;"15-001-31175";37,9589656;-95,4223869;"swd"
"16383";1044896752;"15-001-31231";37,9801425;-95,4039232;"swd"
"16601";1044992373;"15-001-31346";37,8874739;-95,4312209;"swd"
"16914";1045109583;"15-001-31423";37,9784524;-95,3715311;"swd"
"17658";1046106640;"15-001-31458";37,9492692;-95,4054561;"swd"
"5745";1006762552;"15-001-70206";37,7808834;-95,3418572;"swd"
"6445";1006824594;"15-001-70315";37,8757741;-95,2960371;"swd"
"6385";1006819864;"15-001-70384";37,7770842;-95,3492243;"swd"
"5573";1006749295;"15-001-70621";37,9953377;-95,4043814;"swd"
"5605";1006752089;"15-001-70667";37,9779369;-95,4215949;"swd"
"5572";1006749039;"15-001-70793";38,0027582;-95,4969099;"swd"
"5676";1006758295;"15-001-72482";37,8701428;-95,143078;"swd"
"5744";1006761351;"15-001-72788";37,803807;-95,3854344;"swd"
"9398";1032795626;"15-001-73626";37,8076956;-95,3634154;"swd"
"9818";1033890090;"15-003-01004";38,0887582;-95,3548203;"swd"
"15422";1044139193;"15-003-01180";38,3312624;-95,1696726;"swd"
"12639";1037792092;"15-003-01620";38,2228957;-95,1412231;"swd"
"12637";1037792076;"15-003-01640";38,2242234;-95,1452647;"swd"
"12629";1037791961;"15-003-01642";38,2242039;-95,1417851;"swd"
"12627";1037791956;"15-003-01644";38,2250343;-95,1416876;"swd"
"12933";1038339517;"15-003-01658";38,2553773;-95,2476941;"swd"
"12931";1038339493;"15-003-01659";38,2547595;-95,2474975;"swd"
"12945";1038341350;"15-003-01688";38,255597;-95,2426787;"swd"
"12951";1038452067;"15-003-01696";38,0974076;-95,4830341;"swd"
"13278";1039400487;"15-003-01781";38,2374977;-95,1204881;"swd"
"14512";1043386890;"15-003-01973";38,2333226;-95,0866626;"swd"
"14950";1044023124;"15-003-02203";38,0966753;-95,3349269;"swd"
"8809";1031516311;"15-003-19083";38,0686027;-95,4490122;"swd"
"6720";1025715786;"15-003-20069";38,3403764;-95,1382434;"swd"
"9006";1031695877;"15-003-20313";38,102908;-95,4432721;"swd"
"6721";1025717319;"15-003-20908";38,1833024;-95,0786783;"swd"
